neighborhood,minimum_nights,reviews_per_month,roomtype_Shared room,availability_365,number_of_reviews,price,calculated_host_listings_count
Stuyvesant Town/Turtle Bay,2.0632744621280263,1.7096754778919174,6.173949065130318,1.084513120992481,2.3121195020495704,0.954359207692414,2.6351407260310338
Hillcrest/Fresh Meadows,0.8480580728863725,1.1580496175396202,6.4031242374328485,0.8813385974117359,1.3388947492738672,1.000604900407612,1.3235705787570426
Financial District,3.0382130045971034,1.4914968277692169,9.438798074485389,0.8521807179705004,2.7679235772130117,1.689202985779713,1.4372625154686558
Bay Ridge/Dyker Heights,3.1850942348793563,1.2652548693015488,4.449719092257397,0.913146855259808,1.6524545606333452,2.467709326533784,0.9838397736780463
Flushing/Whitestone,1.9030964872826934,0.9828895059888355,5.6568542494923815,0.8031862547917397,1.4363914869087875,1.1660636374018194,0.889711554179811
Borough Park,5.0095848447967315,1.4094645983492435,3.814446224552131,1.1195909132302966,1.7660852610568543,0.7865168684000168,1.237647110597512
Coney Island,1.855265916007936,1.4032277681117793,2.3832750575625976,0.9025824817446407,1.8555107205544044,2.1786789793536547,1.0223652906997338
Morrisania/Crotona,2.646381176877839,1.302848957741078,4.203173404306164,0.7250328088940183,1.5805211153584733,0.7017799342828603,0.7715871209229511
Fort Greene/Brooklyn Heights,2.7575382343723667,1.497112476276984,9.002923501782483,1.4196089210915708,1.9740589889293043,1.769903727950515,3.288762314866442
Jamaica/Hollis,1.4481492521496804,1.2220313680330106,7.053367989832942,0.6622285963521132,1.8487604263250539,0.86346960045736,1.0458179624212032
Woodside/Sunnyside,3.1406842627617495,1.330215948479801,5.232112384114086,1.0911929707595935,1.8108140135723585,0.9366690097232694,2.9655475455329645
Crown Heights/Prospect Heights,2.0471831614046305,1.5935639067252432,,1.4577789099608867,1.7520421541359108,1.6542395944425927,1.520745867612355
Brownsville,0.8123681663587786,0.8811756385434073,,1.036326691631039,1.2279996146245202,0.5996994068625098,1.0114144470361637
Greenwich Village/Soho,4.555348525145487,1.4474482692427577,11.820079767678632,1.3566155145085503,1.8534356012790494,1.3025112835273933,4.98647497166286
Fordham/University Heights,2.867710491615013,1.1871884201952358,4.377975178854565,0.9048782835729478,1.5785681732776324,0.6261793754404996,0.9833066353257163
Mott Haven/Melrose,1.4158977421508403,0.9184437462332123,2.5,0.8893844167549239,1.6949950834953031,0.6596751500224021,0.9215094405845695
East Flatbush,2.004543022867849,1.2903425522363792,4.889898885571266,1.0248641659315811,1.7424287719831477,2.412952373150014,1.9687991266317022
Kew Gardens/Woodhaven,2.7304398754700467,1.081355882607929,4.562071897723665,0.7275327720818974,1.8281844232030493,2.7809543625344544,0.7821071064707745
Washington Heights/Inwood,3.019373098410802,1.462604530590598,6.010743070375285,1.2559330168440608,1.9200743442646246,0.7369724630185331,2.05718849938727
Bedford Stuyvesant,2.232025381834869,1.2070916969162508,6.534073587514821,1.1122046092858426,1.6671703489490313,1.5395037681436434,1.7660221210209615
Astoria,2.5362449742387954,1.4047193033920384,6.61647774709307,1.1828945512708513,1.960046697488504,2.7227295706502788,3.536650586872065
Jackson Heights,2.060720116752353,1.1012638103671553,4.189272013130682,0.8132154120797878,1.7253352258928374,0.702316534596592,2.9004961560078453
Sheepshead Bay,2.7898196149653147,1.3080383343654571,2.8377159087807518,0.8581703455492405,1.5623005693070209,1.60679705158541,0.9800489923090867
Flatbush/Midwood,4.314266178964544,1.4206889416553328,3.817254061682111,1.2470495397743244,1.926414571381164,0.5019397160797338,0.5676299327174852
Tottenville/Great Kills,1.4876472788227904,0.9635604855726583,,0.8038515076735113,1.540402991654476,1.37649529683893,0.5168486154240803
Rockaway/Broad Channel,1.9019242072125524,1.0918176567243205,10.04987562112089,0.6926964480442122,1.4855113731975966,1.040050379928514,2.5450469357804475
South Ozone Park/Howard Beach,1.211914400530635,1.2908784417633186,3.1766191290283903,0.7274992985441031,1.7183644457365501,0.6262797656863487,0.8041722787919575
Bushwick,2.3749355192754695,1.433039731373265,5.937171043518959,1.3214266790138254,1.9744955090398102,0.8875942486773971,2.4593700548800563
Bensonhurst,1.5092938168043317,1.1249819506530276,6.708203932499369,0.9006720429617446,1.7014153847882658,0.45320646490012834,0.8180239746734175
Sunset Park,3.2131336270240864,1.3434160523188916,11.726039399558577,1.2801644050991379,1.7529980692818663,0.9782964749551132,1.0200341760453522
Rego Park/Forest Hills,4.381114702377732,1.129922357071407,3.958114029012639,1.0089012610854244,1.4222678663698485,1.566011312814944,0.9409563817871364
Belmont/East Tremont,1.5902076375676584,1.1255630063272635,2.8722813232690148,0.8557828936207965,1.1846322241885767,0.8400537773226701,0.43843154793219685
South Beach/Willowbrook,1.3119879057232895,1.119666617976282,4.898979485566356,0.6473879630308672,1.1084265597567788,0.9647341317475336,0.8142443238155832
Midtown,2.0473797159507514,2.3906222153633614,8.690224392960172,0.885010842705137,2.467399972208484,0.930557144970999,2.468661473027717
Upper East Side,1.7036167781279061,1.5831551433526974,6.103713553971564,1.192957920423976,2.017471902720388,1.5169889782667199,3.391200469299946
Elmhurst/Corona,1.6995054763417226,1.1278163864417932,2.899353376185801,0.8810469390859987,1.4362873213582052,0.7945097937584679,2.5352235506172223
Clinton/Chelsea,2.315028541573435,1.390624378867544,5.092994845003092,1.0537905847343076,1.9458806809533664,1.1412964745759555,3.1141297267492853
East New York/Starrett City,2.815794142889824,0.9862343160207009,6.526867548832289,0.6450374442542328,1.3047057334834415,0.6033271695714579,1.069589543413541
Queens Village,1.8579065151611214,1.3065594658989799,7.615773105863908,0.7620700001382001,1.3612131769471465,0.642168058981007,0.6102152841224813
Flatlands/Canarsie,1.017986014390314,1.166951077174168,8.9628864398325,0.6181769179463169,1.34083479994754,1.1766870097995652,0.6717062504197897
Park Slope/Carroll Gardens,3.0534612998789674,1.401626494137103,14.142135623730951,1.3460765678327207,1.7417752782197529,0.912691492266108,1.4929104153016273
Kingsbridge Heights/Bedford,1.6170293262741446,1.3886647068274196,4.924428900898052,0.8828794243530321,1.4890600528767972,0.6504188035414085,1.9081985714789866
Upper West Side,1.7888227793963847,1.7565277509153683,6.948021301061188,1.3235500562205997,2.179333873065185,1.873228560110167,3.709026965170574
Highbridge/Concourse,1.714090885039791,1.006051318501707,7.516648189186453,0.8310320332319139,1.5077972444906937,0.5551790358334695,0.6275057081098068
East Harlem,3.681309514848432,1.2500866527809176,6.257761138624987,1.1902157760528889,1.725547899102694,1.7499264855326728,3.1864400906357053
Greenpoint/Williamsburg,3.388449531684481,1.54060110178475,10.087373396519844,1.50813552984415,2.0463135224776283,1.3235911878064954,2.9164382869957453
Riverdale/Fieldston,3.805320275425265,1.3778470976054689,4.847679857416329,0.8877419119863059,2.1308408704029618,2.1558708234849933,0.5411090904872831
Williamsbridge/Baychester,2.2437861464913365,1.130346084362656,5.15751878329105,0.6727147771362637,1.6726218415182261,0.8744204732584074,1.207260638093461
Throgs Neck/Co-op City,0.6320081943442185,1.028508892505673,5.416025603090641,0.7357261975189758,1.5971857875818547,1.2059115472031596,0.8884947588196362
Morningside Heights/Hamilton,1.4979288705161302,1.9753146515184383,9.246621004453463,2.1189800927962423,2.09685247821865,0.7793647943882941,0.7733305811352287
Hunts Point/Longwood,1.536397363405778,1.257651626174069,8.888194417315589,0.8442948227708004,1.5869414858182265,0.9745736393269022,0.7306787525126764
Parkchester/Soundview,3.0574014421519475,1.2212138430166912,3.082207001484488,0.7744551186033154,1.426826202632496,0.8564613525854499,0.8588927856445863
Bayside/Little Neck,1.3735356826876088,1.2708859141727782,7.141428428542849,0.6421811259588414,1.2525642596497364,2.5339520618854863,0.6988976942821785
Lower East Side/Chinatown,2.377731473883756,1.4565860299766307,7.119167063817204,1.4169911309263583,1.969734944385511,1.636896152068028,5.3637941232516315
South Crown Heights/Lefferts Gardens,2.716419895441572,1.4210681804488867,7.465234740430454,1.293152945410745,1.7355850152260026,1.1593681312814526,1.1743669459683033
Morris Park/Bronxdale,1.233979462555865,0.9434499214527643,4.262237284181475,0.8373230562665777,1.3644501874813857,0.9133432582374272,0.6935546599989434
St. George/Stapleton,4.767607215722777,1.04126741315231,6.723094525588643,0.6407367122630998,1.3774584362579312,2.825231563093728,0.7721642591315171
Ridgewood/Maspeth,1.6827924410586297,1.369336443734167,6.821910402406465,0.9679367414326143,1.7722455106784205,0.6399611659187224,2.5511371511037932
